"","Date","Count"
"768",2018-11-07,256
"857",2018-11-08,234
"913",2018-11-09,249
"878",2018-11-10,256
"849",2018-11-11,232
"901",2018-11-12,201
"781",2018-11-13,278
"861",2018-11-14,279
"839",2018-11-15,251
"778",2018-11-16,258
"847",2018-11-17,295
"738",2018-11-18,244
"877",2018-11-19,225
"791",2018-11-20,278
"838",2018-11-21,246
"903",2018-11-22,134
"782",2018-11-23,192
"909",2018-11-24,219
"795",2018-11-25,232
"896",2018-11-26,273
"833",2018-11-27,268
"840",2018-11-28,261
"902",2018-11-29,327
"851",2018-11-30,307
"758",2018-12-01,295
"915",2018-12-02,218
"875",2018-12-03,288
"819",2018-12-04,274
"828",2018-12-05,292
"832",2018-12-06,259
"796",2018-12-07,279
"867",2018-12-08,247
"904",2018-12-09,249
"886",2018-12-10,274
"823",2018-12-11,239
"858",2018-12-12,253
"771",2018-12-13,260
"820",2018-12-14,289
"793",2018-12-15,240
"893",2018-12-16,284
"880",2018-12-17,245
"859",2018-12-18,277
"762",2018-12-19,282
"846",2018-12-20,241
"753",2018-12-21,321
"852",2018-12-22,252
"836",2018-12-23,199
"807",2018-12-24,181
"827",2018-12-25,149
"874",2018-12-26,182
"912",2018-12-27,202
"756",2018-12-28,226
"914",2018-12-29,216
"887",2018-12-30,254
"850",2018-12-31,237
"1175",2019-01-01,304
"1354",2019-01-02,240
"1300",2019-01-03,268
"1323",2019-01-04,296
"1306",2019-01-05,254
"1380",2019-01-06,238
"1335",2019-01-07,233
"1293",2019-01-08,259
"1176",2019-01-09,298
"1275",2019-01-10,253
"1364",2019-01-11,268
"1377",2019-01-12,234
"1331",2019-01-13,221
"1245",2019-01-14,270
"1286",2019-01-15,285
"1150",2019-01-16,264
"1357",2019-01-17,261
"1351",2019-01-18,250
"1379",2019-01-19,211
"1289",2019-01-20,187
"1361",2019-01-21,187
"1375",2019-01-22,260
"1378",2019-01-23,219
"1376",2019-01-24,283
"1358",2019-01-25,251
"1373",2019-01-26,254
"1363",2019-01-27,247
"1371",2019-01-28,251
"1319",2019-01-29,275
"1367",2019-01-30,252
"1338",2019-01-31,223
"1164",2019-02-01,286
"1374",2019-02-02,234
"1312",2019-02-03,244
"1237",2019-02-04,280
"1352",2019-02-05,279
"1356",2019-02-06,227
"1342",2019-02-07,260
"1329",2019-02-08,274
"1332",2019-02-09,252
"1290",2019-02-10,178
"1365",2019-02-11,247
"1355",2019-02-12,208
"1353",2019-02-13,243
"1307",2019-02-14,238
"1231",2019-02-15,326
"1347",2019-02-16,270
"1370",2019-02-17,212
"1372",2019-02-18,200
"1296",2019-02-19,238
"1366",2019-02-20,239
"1180",2019-02-21,252
